rodada,data,hora,cidade
30,13/04/2024,?,"Criciuma, Brazil"
30,13/04/2024,?,"Porto Alegre, Brazil"
30,13/04/2024,?,"Lima Barbosa, Maguielson"
30,13/04/2024,?,"Sao Paulo, Brazil"
30,14/04/2024,?,"Curitiba, Brazil"
30,14/04/2024,?,"Goiania, Brazil"
30,14/04/2024,?,"Sao Paulo, Brazil"
30,14/04/2024,?,"Rio de Janeiro, Brazil"
30,14/04/2024,?,"Belo Horizonte, Brazil"
30,14/04/2024,?,Salvador; Brazil
31,16/04/2024,?,Salvador; Brazil
31,17/04/2024,?,"Cuiaba, Brazil"
31,17/04/2024,?,"Porto Alegre, Brazil"
31,17/04/2024,?,"Braganca Paulista, Brazil"
31,17/04/2024,?,"Belo Horizonte, Brazil"
31,17/04/2024,?,Brazil
31,17/04/2024,?,"Caxias do Sul, Brazil"
31,17/04/2024,?,"Torezin, Lucas Paulo"
31,17/04/2024,?,"Rio de Janeiro, Brazil"
31,18/04/2024,?,"Rio de Janeiro, Brazil"
32,20/04/2024,?,"Rio de Janeiro, Brazil"
32,20/04/2024,?,"Porto Alegre, Brazil"
32,20/04/2024,?,"Braganca Paulista, Brazil"
32,20/04/2024,?,"Belo Horizonte, Brazil"
32,21/04/2024,?,"Fernandes de Lima, Felipe"
32,21/04/2024,?,"Sao Paulo, Brazil"
32,21/04/2024,?,Salvador; Brazil
32,21/04/2024,?,Brazil
32,21/04/2024,?,"Rio de Janeiro, Brazil"
32,24/07/2024,?,"Criciuma, Brazil"
33,27/04/2024,?,"Augusto Vieira, Caio Max"
33,27/04/2024,?,Brazil
33,27/04/2024,?,Salvador; Brazil
33,28/04/2024,?,"Rio de Janeiro, Brazil"
33,28/04/2024,?,"Abel, Ramon Abatti"
33,28/04/2024,?,"Belo Horizonte, Brazil"
33,28/04/2024,?,"Fortaleza, Brazil"
33,28/04/2024,?,"Caxias do Sul, Brazil"
33,28/04/2024,?,"Alves Batista, Edina"
33,29/04/2024,?,"Sao Paulo, Brazil"
34,04/05/2024,?,"Rio de Janeiro, Brazil"
34,04/05/2024,?,"Braganca Paulista, Brazil"
34,04/05/2024,?,"Fernandes de Lima, Felipe"
34,05/05/2024,?,"Curitiba, Brazil"
34,05/05/2024,?,Salvador; Brazil
34,05/05/2024,?,"Rio de Janeiro, Brazil"
34,05/05/2024,?,Brazil
34,05/06/2024,?,"Caxias do Sul, Brazil"
34,28/08/2024,?,"Belo Horizonte, Brazil"
34,25/09/2024,?,"Alegre, Brazil"
35,11/05/2024,?,"Rio de Janeiro, Brazil"
35,12/05/2024,?,Brazil
35,12/05/2024,?,Brazil
35,12/05/2024,?,"Sao Paulo, Brazil"
35,12/05/2024,?,Salvador; Brazil
35,12/05/2024,?,"Rio de Janeiro, Brazil"
35,13/05/2024,?,"Sao Paulo, Brazil"
35,09/06/2024,?,"Criciuma, Brazil"
35,14/08/2024,?,"Porto Alegre, Brazil"
35,09/10/2024,?,"Belo Horizonte, Brazil"
36,01/06/2024,?,"Porto Alegre, Brazil"
36,01/06/2024,?,Salvador; Brazil
36,01/06/2024,?,"Cuiaba, Brazil"
36,01/06/2024,?,"Rio de Janeiro, Brazil"
36,01/06/2024,?,"Sao Paulo, Brazil"
36,02/06/2024,?,"Belo Horizonte, Brazil"
36,02/06/2024,?,"Criciuma, Brazil"
36,02/06/2024,?,"Rio de Janeiro, Brazil"
36,02/06/2024,?,"Fortaleza, Brazil"
36,02/06/2024,?,"Torezin, Lucas Paulo"
37,11/06/2024,?,"Goiania, Brazil"
37,11/06/2024,?,"Caxias do Sul, Brazil"
37,11/06/2024,?,"Rio de Janeiro, Brazil"
37,11/06/2024,?,"Braganca Paulista, Brazil"
37,13/06/2024,?,"Belo Horizonte, Brazil"
37,13/06/2024,?,"Curitiba, Brazil"
37,13/06/2024,?,"Rio de Janeiro, Brazil"
37,13/06/2024,?,"Criciuma, Brazil"
37,13/06/2024,?,"Fernandes de Lima, Felipe"
37,13/06/2024,?,"Abel, Ramon Abatti"
38,15/06/2024,?,"Braganca Paulista, Brazil"
38,15/06/2024,?,"Rio de Janeiro, Brazil"
38,16/06/2024,?,"Curitiba, Brazil"
38,16/06/2024,?,"Sao Paulo, Brazil"
38,16/06/2024,?,Salvador; Brazil
38,16/06/2024,?,"Criciuma, Brazil"
38,16/06/2024,?,Brazil
38,16/06/2024,?,"Cariacica, Brazil"
38,16/06/2024,?,"Rio de Janeiro, Brazil"
38,17/06/2024,?,"Belo Horizonte, Brazil"
