rodada,jogo,mandante,visitante,placar,gols
10,1,Erro,Erro,Erro,
10,10,Goiás,Fluminense,2 x 2,Alesson 85'; Lima 47'; Matheus Peixoto 45' (Pen)
10,2,RccBul,Atlético-MG,1 x 1,Paulinho 17'; ESasha 35'
10,3,Bahia,Finished,2 x 2,A. Sales 66'; Wesley 45'+1; Kayky 18'; B. Rodrigues 30'
10,4,Eulon,Eulon,1 x 1,Ruan Oliveira 81'; Deyverson 55'
10,5,Fohieln,Botafogo,2 x 0,Tiquinho 63' 45'+3
10,6,América-MG,Athletico,2 x 2,Danilo Avelar 90'+6; Christian 48'; VU-Paulista 76'
10,7,Internacional,Finished,2 x 1,Wanderson 16'; Rayan 29'
10,8,Erro,Erro,Erro,Endrick 78'; G. Menino 11'
10,9,Flamengo,Grêmio,3 x 0,B. Henrique 90'+7; Pedro 65'; Everton 24'
11,1,Fohieln,Cruzeiro,0 x 1,J.M.Lucero 80'
11,10,Bragantino,Flamengo,4 x 0,H.Mosquera 81' 49'; Alerrandro 76'
11,2,Erro,Erro,Erro,Luciano 47'; V.Roque 11'; G.Neves 19'
11,3,Santos,Corinthians,0 x 2,Ruan Oliveira 28'
11,4,Bahia,Palmeiras,1 x 0,Thaciano 90'+3
11,5,Fluminense,Atlético-MG,1 x 1,Xavier 45'+1; Guga 35' (OG)
11,6,GREMIO,Grêmio,3 x 1,Lsuarez 69'; Danilo Avelar 25'; M. Villasanti 61'; M. Cavichioli 40' (oG)
11,7,Coritiba,Internacional,0 x 1,P Henrique 66' (Pen)
11,8,Euon,Cuiabá,0 x 1,Tiquinho 60' (Pen )
11,9,Vasco,Goiás,0 x 1,EMorelli 73'
12,1,Athletico,Corinthians,1 x 0,V-Roque 36'
12,10,Eulon,Vasco,1 x 0,Jair 77' (Pen)
12,2,Fluminense,Finished,2 x 1,Pirani 51'; Vinicius Mingotti 28'
12,3,Forall,Finished,2 x 1,Tinga 62'; Alan Kardec 87'
12,4,Cruzeiro,Rafinha,1 x 0,
12,5,GREMIO,Grêmio,5 x 1,A Manga 41'; L Suárez 66'; Bitello 54'
12,6,Palmeiras,Botafogo,0 x 1,Tiquinho 28'
12,7,América-MG,Finished,1 x 2,Alemão 85'; JDlas 63'
12,8,Bragantino,Goiás,2 x 0,Sorriso 45'+2
12,9,Santos,Flamengo,2 x 3,RFernández 52'; E Ribeiro 50'
13,1,Erro,Erro,Erro,Luclano 87'
13,10,Goiás,Finished,1 x 2,Kuscevic 43'; A. Manga 26'
13,2,Bahia,(GrEMIo,1 x 2,G. Martins 90'+5
13,3,Fohieln,Flamengo,2 x 0,
13,4,Erro,Erro,Erro,
13,5,RccBul,Corinthians,0 x 1,E Sasha 17'
13,6,Athletico,Palmeiras,2 x 2,V-Roque 73'; Menino 57'; Vitor Bueno 67' (Pen); Endrick 22'
13,7,Atlético-MG,América-MG,2 x 2,"Hulk 28'; Mastriani 72"" 58'"
13,8,Botafogo,Vasco,2 x 0,C. Alberto 90'+5; L Henrique 54'
13,9,Euon,Cuiabá,3 x 0,Rikelme 86'; Denilson 75'
14,1,Euon,Finished,1 x 1,Deyverson 18' (Pen); AEmpereur 51' (oG)
14,10,GREMIO,Grêmio,0 x 2,C. Alberto 88'
14,2,Vasco,Cruzeiro,0 x 1,Filipe Machado 45'+4
14,3,Atlético-MG,Corinthians,0 x 1,Róger Guedes 40'
14,4,Coritiba,América-MG,3 x 1,VLuis 90'+6; Manga 40' (Pen )
14,5,Palmeiras,Finished,1 x 1,Arrascaeta 81'
14,6,Santos,Goiás,4 x 3,S.Mendoza 90'+4 (Pen); João Magno 81'; 45'+1; Guilherme Marques 61'; M.Leonardo 30' 16'; 40' (Pen)
14,7,Fluminense,Internacional,2 x 0,M. Martinelli 40'; Cano 25'
14,8,Erro,Erro,Erro,
14,9,Forall,Fortaleza,1 x 0,Y Pikachu 84'
15,1,RccBul,Botafogo,2 x 0,LDi Plácido 60'
15,10,América-MG,Vasco,0 x 1,Jair 90'+1
15,2,Erro,Erro,Erro,
15,3,Erro,Erro,Erro,
15,4,Forall,Eulon,0 x 1,Deyverson 19'
15,5,Erro,Erro,Erro,APato 88'; M. Leonardo 90'+3 (Pen); J. Calleri 45'+1.22' (Pen)
15,6,Athletico,Bahia,2 x 0,Erick 35'; V-Roque 24'
15,7,Erro,Erro,Erro,
15,8,Erro,Erro,Erro,
15,9,Corinthians,Grêmio,4 x 4,Giuliano 67'; Lsuarez 58'; Y.Alberto 45'+6; Everton Galdino 51'; L Verissimo 45'+4; FCristaldo 27'; Fábio Santos 45' (Pen); Nathan 21'
16,1,@,Finished,1 x 1,V.Hugo 90'+5; Felipe Azevedo 84'
16,10,Coritiba,Fluminense,2 x 0,Diogo Oliveira 28'; Robson 24' (Pen)
16,2,Fohieln,Palmeiras,3 x 1,Breno Lopes 90'+6; J.M.Lucero 45' (Pen); R. Veiga 76'
16,3,Erro,Erro,Erro,
16,4,Euon,Finished,2 x 1,N.Mendes 90'+9; Clayson 66' (Pen)
16,5,GREMIO,Grêmio,1 x 0,Ronald 11'
16,6,Cruzeiro,Goiás,0 x 1,João Magno 28'
16,7,Erro,Erro,Erro,
16,8,Santos,Botafogo,2 x 2,M. Leonardo 81' 24; Aaryelson 87'; Tiquinho 84'
16,9,Vasco,Athletico,0 x 2,Vitor Bueno 80' (Pen ); Christian 71'
17,1,Athletico,Cruzeiro,3 x 3,Fernandinho 87' (Pen); Wesley 82'; Arthur Gomes 37' 8'; Madson 41'
17,10,Goiás,(GrEMIo,1 x 1,Matheus Babi 77'; A Henrique 90'+3
17,2,Fluminense,Santos,1 x 0,
17,3,Eulon,Eulon,1 x 2,FBustos 16'; Deyverson 88'
17,4,Corinthians,Vasco,3 x 1,Róger Guedes 73' (Pen); G. Pec 71'; Maycon 19'
17,5,Forall,Rerul,0 x 3,T Borbas 90'+2; LCandido 23'
17,6,Atlético-MG,Finished,1 x 2,Paulinho 33'; Wesley 87'
17,7,Erro,Erro,Erro,
17,8,América-MG,Palmeiras,1 x 4,Nicolas 38'; Rony 59' 26'; Artur 53'; Murilo 18'
17,9,Botafogo,Coritiba,4 x 1,"Tiquinho 51' 36'; Gustavo Sauer 45'+3,3'"
18,1,Santos,Athletico,1 x 1,M.Leonardo 90'+6 (Pen); Pablo 30'
18,10,Euon,Cuiabá,3 x 0,Deyverson 80'; Clayson 54'
18,2,Fohieln,Goiás,1 x 0,T. Figueiredo 53' (OG)
18,3,Internacional,Corinthians,2 x 2,LAdriano 90'+9; Fábio Santos 86' (Pen ); B. Henrique 17'
18,4,Fluminense,Finished,2 x 1,Gómez 90'+6; J.Arias 15' (Pen)
18,5,Erro,Erro,Erro,C. Pavón 69' (Pen)
18,6,Vasco,Grêmio,1 x 0,P Vegetti 80'
18,7,Bahia,América-MG,3 x 1,Everaldo 26'
18,8,RccBul,Coritiba,0 x 1,
18,9,Erro,Erro,Erro,
19,1,Botafogo,Internacional,3 x 1,Mauricio 18'; N.Hernández 58' (OGI; Victor Sá 55'
19,10,Eulon,Athletico,2 x 0,Zapelli 82'; A. Canobbio 45'
19,2,Atlético-MG,Bahia,1 x 0,
19,3,América-MG,Goiás,0 x 1,
19,4,Corinthians,Coritiba,3 x 1,Wvesley 67'; Murillo 28' (OG); Y.Alberto 54'; Gil 51'
19,5,GREMIO,Finished,2 x 1,Ferreira 45'+1; Bitello 25'
19,6,Erro,Erro,Erro,Pedro 90'+6 (Pen); LMoura 38'
19,7,Forall,Fortaleza,4 x 0,B.Pacheco 90'+1; J-Basso 80' (OG)
19,8,Palmeiras,Cruzeiro,1 x 0,J.López 90'+6
19,9,Bragantino,Vasco,1 x 1,Neves 45'+8; P Vegetti 32' (Pen)
1,1,América-MG,Fluminense,0 x 3,Lelê 72'; John Kennedy 60'
1,10,GREMIO,Grêmio,1 x 0,
1,2,Eulon,Eulon,2 x 1,J.López 65'; Raniele 45'+7
1,3,Athletico,Goiás,2 x 0,P Henrique 36'
1,4,Erro,Erro,Erro,Equardo 88'; J. Calleri 15'
1,5,Forall,Finished,1 x 1,Moises 56'; Wanderson 54'
1,6,Bragantino,Finished,2 x 1,ESasha 70'; Bruninho 54'
1,7,Atlético-MG,Finished,1 x 2,M.Lemos 45'+5; G. Pec 10'
1,8,Corinthians,Finished,2 x 1,Roger Guedes 87'; L Oliveira 90'+5
