Imagem,Mandante,Visitante,Placar
rodada_10_jogo_1.png,Atlético-G01,Criciúma,1 x 2
rodada_10_jogo_10.png,Palmeiras,RB Bragantino,2 x 1
rodada_10_jogo_2.png,Botafogo,Athletico,1 x 1
rodada_10_jogo_3.png,Fortaleza,Grêmio,1 x 0
rodada_10_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_10_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_10_jogo_6.png,Cruzeiro,Fluminense,2 x 0
rodada_10_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_10_jogo_8.png,Vitória,Atlético-MVIG,4 x 2
rodada_10_jogo_9.png,Flamengo,Bahia,2 x 1
rodada_11_jogo_1.png,Criciúma,Botafogo,2 x 1
rodada_11_jogo_10.png,RB Bragantino,Vitória,2 x 1
rodada_11_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_11_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_11_jogo_4.png,Vasco,São Paulo,4 x 1
rodada_11_jogo_5.png,Athletico,Corinthians,1 x 1
rodada_11_jogo_6.png,Bahia,Cruzeiro,4 x 1
rodada_11_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_11_jogo_8.png,Atlético-MIG,nna,1 x 1
rodada_11_jogo_9.png,Palmeiras,Juventude,3 x 1
rodada_12_jogo_1.png,Botafogo,RB Bragantino,2 x 1
rodada_12_jogo_10.png,São Paulo,Criciúma,2 x 1
rodada_12_jogo_2.png,Cruzeiro,Athletico,2 x 0
rodada_12_jogo_3.png,Atlético-GO,Grêmio,1 x 1
rodada_12_jogo_4.png,Corinthians,Cuiabá,1 x 1
rodada_12_jogo_5.png,Juventude,Flamengo,2 x 1
rodada_12_jogo_6.png,Bahia,Vasco,2 x 1
rodada_12_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_12_jogo_8.png,Internacional,Atlético-MG,1 x 2
rodada_12_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_13_jogo_1.png,Cuiabá,RB Bragantino,1 x 1
rodada_13_jogo_10.png,Palmeiras,Corinthians,2 x 0
rodada_13_jogo_2.png,Vasco,Botafogo,1 x 1
rodada_13_jogo_3.png,Atlético-MVIG,Atlético-GO,1 x 1
rodada_13_jogo_4.png,Fortaleza,Juventude,2 x 1
rodada_13_jogo_5.png,Grêmio,Fluminense,1 x 0
rodada_13_jogo_6.png,São Paulo,Bahia,3 x 1
rodada_13_jogo_7.png,Criciúma,Internacional,1 x 1
rodada_13_jogo_8.png,Flamengo,Cruzeiro,2 x 1
rodada_13_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_14_jogo_1.png,Cuiabá,Botafogo,1 x 2
rodada_14_jogo_10.png,Fluminense,Internacional,1 x 1
rodada_14_jogo_2.png,Criciúma,Cruzeiro,1 x 0
rodada_14_jogo_3.png,Vasco,Fortaleza,2 x 0
rodada_14_jogo_4.png,Athletico,São Paulo,1 x 2
rodada_14_jogo_5.png,Atlético-MIG,Flamengo,2 x 4
rodada_14_jogo_6.png,RB Bragantino,Atlético-GO,3 x 1
rodada_14_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_14_jogo_8.png,Grêmio,Palmeiras,2 x 2
rodada_14_jogo_9.png,Corinthians,Vitória,3 x 2
rodada_15_jogo_1.png,Flamengo,Cuiabá,1 x 1
rodada_15_jogo_10.png,Botafogo,Atlético-MGD,3 x 0
rodada_15_jogo_2.png,São Paulo,RB Bragantino,2 x 0
rodada_15_jogo_3.png,Cruzeiro,Corinthians,3 x 0
rodada_15_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_15_jogo_5.png,Juventude,Grêmio,3 x 0
rodada_15_jogo_6.png,Internacional,Vasco,1 x 2
rodada_15_jogo_7.png,Atlético-G01,Athletico,1 x 2
rodada_15_jogo_8.png,Palmeiras,Bahia,2 x 0
rodada_15_jogo_9.png,Vitória,Criciúma,2 x 1
rodada_16_jogo_1.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_16_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_16_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_16_jogo_3.png,Athletico,Bahia,1 x 3
rodada_16_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_16_jogo_5.png,Vasco,Corinthians,2 x 0
rodada_16_jogo_6.png,Palmeiras,Atlético-G0,3 x 1
rodada_16_jogo_7.png,Criciúma,Fluminense,1 x 1
rodada_16_jogo_8.png,Flamengo,Fortaleza,1 x 2
rodada_16_jogo_9.png,Atlético-MG,São Paulo,2 x 1
rodada_17_jogo_1.png,Bahia,Cuiabá,1 x 2
rodada_17_jogo_10.png,Fortaleza,Vitória,3 x 1
rodada_17_jogo_2.png,Cruzeiro,RB Bragantino,2 x 1
rodada_17_jogo_3.png,Juventude,Atlético-MVIG,1 x 1
rodada_17_jogo_4.png,Corinthians,Criciúma,2 x 1
rodada_17_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_17_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_17_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_17_jogo_8.png,UNE,São Paulo,1 x 0
rodada_17_jogo_9.png,Botafogo,Palmeiras,1 x 0
