rodada,data,hora,cidade
1,14/04/2024,18:30,Salvador; Brazil
1,13/04/2024,18:30,"Criciuma, Brazil"
1,13/04/2024,18:30,"Porto Alegre, Brazil"
1,13/04/2024,21:00,"Rio de Janeiro, Brazil"
1,13/04/2024,21:00,"Sao Paulo, Brazil"
1,14/04/2024,16:00,"Curitiba, Brazil"
1,14/04/2024,16:00,Goiania
1,14/04/2024,16:00,"Sao Paulo, Brazil"
1,14/04/2024,16:00,"Rio de Janeiro, Brazil"
1,14/04/2024,17:00,"Belo Horizonte, Brazil"
2,18/04/2024,21:30,"Rio de Janeiro, Brazil"
2,16/04/2024,21:30,Salvador; Brazil
2,17/04/2024,16:00,"Cuiaba, Brazil"
2,17/04/2024,19:00,"Porto Alegre, Brazil"
2,17/04/2024,19:00,"Braganca Paulista, Brazil"
2,17/04/2024,20:00,"Belo Horizonte, Brazil"
2,17/04/2024,20:00,"Fortaleza, Brazil"
2,17/04/2024,20:00,"Caxias do Sul, Brazil"
2,17/04/2024,20:00,"Sao Paulo, Brazil"
2,17/04/2024,21:30,"Rio de Janeiro, Brazil"
3,24/07/2024,19:00,"Criciuma, Brazil"
3,20/04/2024,16:00,"Rio de Janeiro, Brazil"
3,20/04/2024,18:30,"Porto Alegre, Brazil"
3,20/04/2024,18:30,"Braganca Paulista, Brazil"
3,20/04/2024,21:00,"Belo Horizonte, Brazil"
3,21/04/2024,16:00,"Curitiba, Brazil"
3,21/04/2024,16:00,"Sao Paulo, Brazil"
3,21/04/2024,16:00,Salvador; Brazil
3,21/04/2024,18:30,"Goiania, Brazil"
3,21/04/2024,18:30,"Rio de Janeiro, Brazil"
4,29/04/2024,20:00,"Sao Paulo, Brazil"
4,27/04/2024,16:00,"Rio de Janeiro, Brazil"
4,27/04/2024,18:30,"Cuiaba, Brazil"
4,27/04/2024,21:00,Salvador; Brazil
4,28/04/2024,11:00,"Rio de Janeiro, Brazil"
4,28/04/2024,16:00,"Sao Paulo, Brazil"
4,28/04/2024,16:00,"Belo Horizonte, Brazil"
4,28/04/2024,18:30,"Fortaleza, Brazil"
4,28/04/2024,18:30,"Caxias do Sul, Brazil"
4,28/04/2024,20:00,"Porto Alegre, Brazil"
5,25/09/2024,19:00,Porto 
5,04/05/2024,16:00,"Rio de Janeiro, Brazil"
5,04/05/2024,18:30,"Braganca Paulista, Brazil"
5,04/05/2024,21:00,"Sao Paulo, Brazil"
5,05/05/2024,16:00,"Curitiba, Brazil"
5,05/05/2024,16:00,Salvador; Brazil
5,05/05/2024,18:30,"Rio de Janeiro, Brazil"
5,05/05/2024,18:30,Cuiaba
5,05/06/2024,19:00,Caxias do
5,28/08/2024,19:30,"Belo Horizonte, Brazil"
6,09/10/2024,19:30,"Belo Horizonte, Brazil"
6,11/05/2024,16:00,"Rio de Janeiro, Brazil"
6,12/05/2024,16:00,"Goiania, Brazil"
6,12/05/2024,16:00,Fortaleza
6,12/05/2024,16:00,"Sao Paulo, Brazil"
6,12/05/2024,18:30,Salvador; Brazil
6,12/05/2024,18:30,"Rio de Janeiro, Brazil"
6,13/05/2024,20:00,"Sao Paulo, Brazil"
6,09/06/2024,16:00,"Criciuma, Brazil"
6,14/08/2024,19:30,"Porto Alegre, Brazil"
7,02/06/2024,18:30,"Sao Paulo, Brazil"
7,01/06/2024,16:00,"Porto Alegre, Brazil"
7,01/06/2024,16:00,Salvador; Brazil
7,01/06/2024,18:30,Cuiaba
7,01/06/2024,18:30,"Rio de Janeiro, Brazil"
7,01/06/2024,21:00,"Sao Paulo, Brazil"
7,02/06/2024,16:00,"Belo Horizonte, Brazil"
7,02/06/2024,16:00,"Criciuma, Brazil"
7,02/06/2024,16:00,"Rio de Janeiro, Brazil"
7,02/06/2024,18:30,Fortaleza
8,13/06/2024,21:30,"Sao Paulo, Brazil"
8,11/06/2024,19:00,Goiania
8,11/06/2024,19:00,"Caxias do Sul, Brazil"
8,11/06/2024,20:00,"Rio de Janeiro, Brazil"
8,11/06/2024,21:30,"Braganca Paulista, Brazil"
8,13/06/2024,19:00,"Belo Horizonte, Brazil"
8,13/06/2024,20:00,"Curitiba, Brazil"
8,13/06/2024,20:00,"Rio de Janeiro, Brazil"
8,13/06/2024,20:00,"Criciuma, Brazil"
8,13/06/2024,21:30,Salvador; Brazil
9,17/06/2024,20:30,"Belo Horizonte, Brazil"
9,15/06/2024,18:30,"Braganca Paulista, Brazil"
9,15/06/2024,21:00,"Rio de Janeiro, Brazil"
9,16/06/2024,16:00,"Curitiba, Brazil"
9,16/06/2024,16:00,"Sao Paulo, Brazil"
9,16/06/2024,16:00,Salvador; Brazil
9,16/06/2024,18:30,"Criciuma, Brazil"
9,16/06/2024,18:30,Cuiaba
9,16/06/2024,18:30,"Cariacica, Brazil"
9,16/06/2024,18:30,"Rio de Janeiro, Brazil"
10,20/06/2024,21:30,"Sao Paulo, Brazil"
10,19/06/2024,19:00,"Goiania, Brazil"
10,19/06/2024,19:00,"Rio de Janeiro, Brazil"
10,19/06/2024,20:00,Fortaleza
10,19/06/2024,20:00,"Caxias do Sul, Brazil"
10,19/06/2024,20:00,"Sao Paulo, Brazil"
10,19/06/2024,21:30,"Belo Horizonte, Brazil"
10,19/06/2024,21:30,"Florianopolis, Brazil"
10,20/06/2024,18:30,Salvador; Brazil
10,20/06/2024,20:00,"Rio de Janeiro, Brazil"
11,23/06/2024,18:30,"Braganca Paulista, Brazil"
11,22/06/2024,16:00,"Criciuma, Brazil"
11,22/06/2024,17:30,"Curitiba, Brazil"
11,22/06/2024,18:30,"Cuiaba, Brazil"
11,22/06/2024,21:30,"Rio de Janeiro, Brazil"
11,23/06/2024,16:00,"Curitiba, Brazil"
