data,hora,cidade,Temperatura (°C),Umidade (%),Precipitação (mm),Vento (km/h)
14/04/2024,18:30,Salvador,26.1,79.0,0.0,8.2
13/04/2024,18:30,Criciuma,15.9,98.0,0.0,3.6
13/04/2024,18:30,Porto Alegre,19.4,79.0,0.0,17.6
13/04/2024,21:00,Rio de Janeiro,21.5,88.0,0.2,2.5
13/04/2024,21:00,Sao Paulo,16.6,90.0,0.0,7.3
14/04/2024,16:00,Curitiba,13.6,97.0,0.0,8.1
14/04/2024,16:00,Goiania,22.2,81.0,0.0,5.1
14/04/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
14/04/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
14/04/2024,17:00,Belo Horizonte,19.1,80.0,0.0,3.8
18/04/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
16/04/2024,21:30,Salvador,26.1,79.0,0.0,8.2
17/04/2024,16:00,Cuiaba,23.3,92.0,0.0,1.8
17/04/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
17/04/2024,19:00,Braganca Paulista,16.0,88.0,0.0,10.9
17/04/2024,20:00,Belo Horizonte,19.1,80.0,0.0,3.8
17/04/2024,20:00,Fortaleza,26.5,87.0,2.4,11.9
17/04/2024,20:00,Caxias do Sul,13.8,90.0,0.0,10.2
17/04/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
17/04/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
24/07/2024,19:00,Criciuma,15.9,98.0,0.0,3.6
20/04/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
20/04/2024,18:30,Porto Alegre,19.4,79.0,0.0,17.6
20/04/2024,18:30,Braganca Paulista,16.0,88.0,0.0,10.9
20/04/2024,21:00,Belo Horizonte,19.1,80.0,0.0,3.8
21/04/2024,16:00,Curitiba,13.6,97.0,0.0,8.1
21/04/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
21/04/2024,16:00,Salvador,26.1,79.0,0.0,8.2
21/04/2024,18:30,Goiania,22.2,81.0,0.0,5.1
21/04/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
29/04/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
27/04/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
27/04/2024,18:30,Cuiaba,23.3,92.0,0.0,1.8
27/04/2024,21:00,Salvador,26.1,79.0,0.0,8.2
28/04/2024,11:00,Rio de Janeiro,21.5,88.0,0.2,2.5
28/04/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
28/04/2024,16:00,Belo Horizonte,19.1,80.0,0.0,3.8
28/04/2024,18:30,Fortaleza,26.5,87.0,2.4,11.9
28/04/2024,18:30,Caxias do Sul,13.8,90.0,0.0,10.2
28/04/2024,20:00,Porto Alegre,19.4,79.0,0.0,17.6
25/09/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
04/05/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
04/05/2024,18:30,Braganca Paulista,16.0,88.0,0.0,10.9
04/05/2024,21:00,Sao Paulo,16.6,90.0,0.0,7.3
05/05/2024,16:00,Curitiba,13.6,97.0,0.0,8.1
05/05/2024,16:00,Salvador,26.1,79.0,0.0,8.2
05/05/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
05/05/2024,18:30,Cuiaba,23.3,92.0,0.0,1.8
05/06/2024,19:00,Caxias do Sul,13.8,90.0,0.0,10.2
28/08/2024,19:30,Belo Horizonte,19.1,80.0,0.0,3.8
09/10/2024,19:30,Belo Horizonte,19.1,80.0,0.0,3.8
11/05/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
12/05/2024,16:00,Goiania,22.2,81.0,0.0,5.1
12/05/2024,16:00,Fortaleza,26.5,87.0,2.4,11.9
12/05/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
12/05/2024,18:30,Salvador,26.1,79.0,0.0,8.2
12/05/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
13/05/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
09/06/2024,16:00,Criciuma,15.9,98.0,0.0,3.6
