Country,League,Season,data,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,rodada,hora,cidade
Brazil,Serie A,2024,13/04/2024,22:30,Criciuma,Juventude,1.0,1.0,D,2.16,3.05,4.13,2.21,3.21,4.2,2.13,3.0,3.89,,,,1.0,18:30,"Criciuma, Brazil"
Brazil,Serie A,2024,13/04/2024,22:30,Criciuma,Juventude,1.0,1.0,D,2.16,3.05,4.13,2.21,3.21,4.2,2.13,3.0,3.89,,,,1.0,18:30,"Porto Alegre, Brazil"
Brazil,Serie A,2024,13/04/2024,22:30,Criciuma,Juventude,1.0,1.0,D,2.16,3.05,4.13,2.21,3.21,4.2,2.13,3.0,3.89,,,,1.0,6:35,"Rio de Janeiro, Brazil"
Brazil,Serie A,2024,13/04/2024,22:30,Criciuma,Juventude,1.0,1.0,D,2.16,3.05,4.13,2.21,3.21,4.2,2.13,3.0,3.89,,,,1.0,21:00,"Sao Paulo, Brazil"
Brazil,Serie A,2024,13/04/2024,22:30,Internacional,Bahia,2.0,1.0,H,1.9,3.43,4.58,1.93,3.57,4.62,1.87,3.38,4.31,,,,1.0,18:30,"Criciuma, Brazil"
Brazil,Serie A,2024,13/04/2024,22:30,Internacional,Bahia,2.0,1.0,H,1.9,3.43,4.58,1.93,3.57,4.62,1.87,3.38,4.31,,,,1.0,18:30,"Porto Alegre, Brazil"
Brazil,Serie A,2024,13/04/2024,22:30,Internacional,Bahia,2.0,1.0,H,1.9,3.43,4.58,1.93,3.57,4.62,1.87,3.38,4.31,,,,1.0,6:35,"Rio de Janeiro, Brazil"
Brazil,Serie A,2024,13/04/2024,22:30,Internacional,Bahia,2.0,1.0,H,1.9,3.43,4.58,1.93,3.57,4.62,1.87,3.38,4.31,,,,1.0,21:00,"Sao Paulo, Brazil"
Brazil,Serie A,2024,14/04/2024,01:00,Fluminense,Bragantino,2.0,2.0,D,1.75,3.63,5.31,1.91,3.65,5.31,1.78,3.48,4.79,,,,1.0,18:30,Salvador; Brazil
Brazil,Serie A,2024,14/04/2024,01:00,Fluminense,Bragantino,2.0,2.0,D,1.75,3.63,5.31,1.91,3.65,5.31,1.78,3.48,4.79,,,,1.0,16:00,"Curitiba, Brazil"
